% Model:              Dam breaking on a column.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 13 2023, 01:23
% Table:              Probe Table 1 - 
% Time (s)                                        Pressure force on the column (N), Boundary Probe 1
0.3992246723547337                                27.56160451100279
0.40068096832198763                               27.527454956673367
0.4021374208103972                                27.494142579562904
0.40359430455658596                               27.461702241144067
0.40505148245494177                               27.430099648854288
0.40650895483472693                               27.399292791483656
0.407966722163714                                 27.369315669617073
0.4094247850724441                                27.3401757297765
0.41088314436678053                               27.311864424532605
0.41234162092946597                               27.284367155966553
0.4137995685508306                                27.25767198204639
0.4152569154775439                                27.23175267964917
0.4167137488921838                                27.206574183174265
0.4181701548269983                                27.18197009299634
0.41962621815120266                               27.157972643596448
0.4210820219044908                                27.134535046596987
0.4225377742467582                                27.11170881539275
0.42399330003812463                               27.089529317285766
0.4254488026773847                                27.068004072685323
0.426904355939801                                 27.047129450818197
0.4283600308490452                                27.026893825797554
0.4298158955643889                                27.007280742540686
0.4312720152928322                                26.988270905963283
0.4327281721976084                                26.96984695239922
0.4341849853915892                                26.95191080370131
0.43564223112337824                               26.93439390336702
0.43709996269954765                               26.917354964389478
0.4385582302817956                                26.900821625139013
0.4400170809794995                                26.884777975656174
0.4414765516255173                                26.86918060719629
0.4429366982634878                                26.854061397321136
0.44439755201967884                               26.839432196079066
0.4458591485678206                                26.825292075764477
0.44732152088288846                               26.811632441028664
0.4487846993337606                                26.79844008430453
0.45024871177817927                               26.785698163272663
0.4517132993109963                                26.773323344074424
0.45317837808124206                               26.761297854874634
0.45464392253026636                               26.74964229373209
0.45610997090176686                               26.738320049403935
0.4575765596637114                                26.7273682797303
0.4590437234192137                                26.716802658299052
0.4605114949357376                                26.706625285825336
0.4619796813126013                                26.696831514285474
0.4634487592220832                                26.687407263140894
0.4649185322200232                                26.67833997385929
0.4663890258054533                                26.669613859109354
0.46786026371541256                               26.661207321389316
0.46933226795092065                               26.652998503855702
0.47080505891495206                               26.64503691247754
0.4722782137119473                                26.637349184558534
0.47375263239424287                               26.629916587529465
0.47522788922681974                               26.622717554945034
0.47670399836221017                               26.61577377789837
